requested_stocks,actual_stocks,observations,q,lambda_minus,lambda_plus,signal_eigenvalues,noise_like_eigenvalues,noise_like_percentage,missing_fraction_imputed
100,100,756,0.13227513227513227,0.4048821648218243,1.8596680997284398,7,93,0.93,0.0
200,200,756,0.26455026455026454,0.2358612648029851,2.293239264297544,9,191,0.955,0.0
300,300,756,0.3968253968253968,0.13694382012797274,2.656706973522821,10,290,0.9666666666666667,2.2045855379188714e-05
