model,rmse,mae,directional_accuracy,n_obs
mean_baseline,0.020627876321828574,0.013570243563587455,0.5170127686279559,124289
arma,0.020653253004259145,0.013606760320630773,0.5110508572761869,124289
ar1_garch_t,0.020653275480268997,0.013606787910073435,0.5110508572761869,124289
tft,0.020791865754758047,0.0136431427195572,0.5114290081986338,124289
lstm,0.020914367473099216,0.013797393544290984,0.5102865096669859,124289
gru,0.02092647961621728,0.013780560028075596,0.5077762312030831,124289
