epoch,train_loss,validation_loss
1,0.9974124015141757,0.8468104198575019
2,0.9960723248047706,0.8458471938967704
3,0.9942804445058872,0.8479276940226554
4,0.9939094873575064,0.8471442997455597
5,0.9930089536385659,0.847636416554451
