model,rmse,mae,directional_accuracy,n_obs
lstm,0.02051864400943276,0.013538529596516682,0.517468529333794,124481
gru,0.020547429060497002,0.013546690555542558,0.5151388565323222,124481
tft,0.020554036042779108,0.013554362390671044,0.5167455274298889,124481
mean_baseline,0.020651604607245615,0.013572032533648021,0.5169543946465726,124481
arma,0.02067697550947928,0.013608573699631313,0.5109775789076244,124481
ar1_garch_t,0.02067699795540583,0.013608601438350968,0.5109775789076244,124481
