model,observations,rmse,mae,directional_accuracy
ar1_garch_t,12580,0.02034990901837762,0.013786601340492964,0.5274244833068362
arma,12580,0.020353712327190323,0.013789791494501902,0.5267090620031797
mean_baseline,12580,0.02035497430795242,0.01379201964519693,0.5279809220985692
